# nccl-tests version 2.19.7 nccl-headers=22501 nccl-library=22501
# Collective test starting: all_gather_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   2383 on 5c44f3e9a47e device  0 [0000:03:00] NVIDIA L4
#  Rank  1 Group  0 Pid   2383 on 5c44f3e9a47e device  1 [0000:c3:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.17    0.00    0.00       0     0.16    0.00    0.00       0
           0             0     float    none      -1     0.15    0.00    0.00       0     0.15    0.00    0.00       0
          32             4     float    none      -1     7.24    0.00    0.00       0     7.12    0.00    0.00       0
          64             8     float    none      -1     7.09    0.01    0.00       0     7.40    0.01    0.00       0
         128            16     float    none      -1     7.08    0.02    0.01       0     7.12    0.02    0.01       0
         256            32     float    none      -1     7.13    0.04    0.02       0     7.24    0.04    0.02       0
         512            64     float    none      -1     6.85    0.07    0.04       0     7.12    0.07    0.04       0
        1024           128     float    none      -1     7.09    0.14    0.07       0     6.87    0.15    0.07       0
        2048           256     float    none      -1     7.08    0.29    0.14       0     6.95    0.29    0.15       0
        4096           512     float    none      -1     6.82    0.60    0.30       0     6.98    0.59    0.29       0
        8192          1024     float    none      -1     6.89    1.19    0.59       0     7.19    1.14    0.57       0
       16384          2048     float    none      -1     7.40    2.21    1.11       0     7.29    2.25    1.12       0
       32768          4096     float    none      -1     9.27    3.54    1.77       0     9.17    3.57    1.79       0
       65536          8192     float    none      -1    12.11    5.41    2.71       0    12.04    5.44    2.72       0
      131072         16384     float    none      -1    17.72    7.40    3.70       0    17.66    7.42    3.71       0
      262144         32768     float    none      -1    31.87    8.22    4.11       0    31.21    8.40    4.20       0
      524288         65536     float    none      -1    44.10   11.89    5.94       0    43.27   12.12    6.06       0
     1048576        131072     float    none      -1    65.94   15.90    7.95       0    65.65   15.97    7.99       0
     2097152        262144     float    none      -1   111.68   18.78    9.39       0   111.41   18.82    9.41       0
     4194304        524288     float    none      -1   211.40   19.84    9.92       0   210.04   19.97    9.98       0
     8388608       1048576     float    none      -1   414.86   20.22   10.11       0   412.86   20.32   10.16       0
    16777216       2097152     float    none      -1   818.31   20.50   10.25       0   815.05   20.58   10.29       0
    33554432       4194304     float    none      -1  1624.55   20.65   10.33       0  1616.01   20.76   10.38       0
    67108864       8388608     float    none      -1  3233.83   20.75   10.38       0  3225.76   20.80   10.40       0
   134217728      16777216     float    none      -1  6458.89   20.78   10.39       0  6435.26   20.86   10.43       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 3.98072 
#
# Collective test concluded: all_gather_perf
#

