# nccl-tests version 2.19.7 nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   2040 on 5c44f3e9a47e device  0 [0000:03:00] NVIDIA L4
#  Rank  1 Group  0 Pid   2040 on 5c44f3e9a47e device  1 [0000:c3:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1     6.91    0.00    0.00       0     6.99    0.00    0.00       0
          16             4     float     sum      -1     7.00    0.00    0.00       0     7.07    0.00    0.00       0
          32             8     float     sum      -1     7.57    0.00    0.00       0     7.26    0.00    0.00       0
          64            16     float     sum      -1     6.94    0.01    0.01       0     7.08    0.01    0.01       0
         128            32     float     sum      -1     7.07    0.02    0.02       0     6.87    0.02    0.02       0
         256            64     float     sum      -1     6.81    0.04    0.04       0     7.08    0.04    0.04       0
         512           128     float     sum      -1     6.93    0.07    0.07       0     6.86    0.07    0.07       0
        1024           256     float     sum      -1     6.79    0.15    0.15       0     6.82    0.15    0.15       0
        2048           512     float     sum      -1     6.76    0.30    0.30       0     6.84    0.30    0.30       0
        4096          1024     float     sum      -1     7.00    0.58    0.58       0     7.04    0.58    0.58       0
        8192          2048     float     sum      -1     7.67    1.07    1.07       0     7.68    1.07    1.07       0
       16384          4096     float     sum      -1     9.23    1.77    1.77       0     9.19    1.78    1.78       0
       32768          8192     float     sum      -1    12.09    2.71    2.71       0    12.02    2.73    2.73       0
       65536         16384     float     sum      -1    17.73    3.70    3.70       0    17.71    3.70    3.70       0
      131072         32768     float     sum      -1    28.72    4.56    4.56       0    28.71    4.56    4.56       0
      262144         65536     float     sum      -1    42.08    6.23    6.23       0    42.03    6.24    6.24       0
      524288        131072     float     sum      -1    65.93    7.95    7.95       0    66.51    7.88    7.88       0
     1048576        262144     float     sum      -1   108.60    9.66    9.66       0   108.39    9.67    9.67       0
     2097152        524288     float     sum      -1   199.96   10.49   10.49       0   199.73   10.50   10.50       0
     4194304       1048576     float     sum      -1   390.18   10.75   10.75       0   390.38   10.74   10.74       0
     8388608       2097152     float     sum      -1   774.67   10.83   10.83       0   772.77   10.86   10.86       0
    16777216       4194304     float     sum      -1  1537.91   10.91   10.91       0  1538.75   10.90   10.90       0
    33554432       8388608     float     sum      -1  3061.74   10.96   10.96       0  3057.07   10.98   10.98       0
    67108864      16777216     float     sum      -1  6113.46   10.98   10.98       0  6098.32   11.00   11.00       0
   134217728      33554432     float     sum      -1  12205.4   11.00   11.00       0  12182.7   11.02   11.02       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 4.59112 
#
# Collective test concluded: all_reduce_perf
#

