# nccl-tests version 2.19.7 nccl-headers=22501 nccl-library=22501
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   2285 on 5c44f3e9a47e device  0 [0000:03:00] NVIDIA L4
#  Rank  1 Group  0 Pid   2285 on 5c44f3e9a47e device  1 [0000:c3:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.16    0.00    0.00       0     0.15    0.00    0.00       0
           0             0     float     sum      -1     0.15    0.00    0.00       0     0.16    0.00    0.00       0
          32             4     float     sum      -1     7.01    0.00    0.00       0     7.01    0.00    0.00       0
          64             8     float     sum      -1     7.18    0.01    0.00       0     6.99    0.01    0.00       0
         128            16     float     sum      -1     6.98    0.02    0.01       0     7.13    0.02    0.01       0
         256            32     float     sum      -1     7.19    0.04    0.02       0     7.07    0.04    0.02       0
         512            64     float     sum      -1     7.26    0.07    0.04       0     7.15    0.07    0.04       0
        1024           128     float     sum      -1     6.93    0.15    0.07       0     6.83    0.15    0.07       0
        2048           256     float     sum      -1     6.82    0.30    0.15       0     7.20    0.28    0.14       0
        4096           512     float     sum      -1     6.94    0.59    0.30       0     8.05    0.51    0.25       0
        8192          1024     float     sum      -1     7.08    1.16    0.58       0     7.37    1.11    0.56       0
       16384          2048     float     sum      -1     7.77    2.11    1.05       0     7.24    2.26    1.13       0
       32768          4096     float     sum      -1     9.15    3.58    1.79       0     9.17    3.57    1.79       0
       65536          8192     float     sum      -1    12.22    5.36    2.68       0    12.06    5.43    2.72       0
      131072         16384     float     sum      -1    17.97    7.29    3.65       0    17.80    7.36    3.68       0
      262144         32768     float     sum      -1    31.50    8.32    4.16       0    31.41    8.34    4.17       0
      524288         65536     float     sum      -1    44.98   11.65    5.83       0    44.93   11.67    5.83       0
     1048576        131072     float     sum      -1    69.61   15.06    7.53       0    69.76   15.03    7.52       0
     2097152        262144     float     sum      -1   118.07   17.76    8.88       0   117.74   17.81    8.91       0
     4194304        524288     float     sum      -1   225.18   18.63    9.31       0   224.86   18.65    9.33       0
     8388608       1048576     float     sum      -1   442.31   18.97    9.48       0   442.52   18.96    9.48       0
    16777216       2097152     float     sum      -1   872.59   19.23    9.61       0   872.13   19.24    9.62       0
    33554432       4194304     float     sum      -1  1734.80   19.34    9.67       0  1729.83   19.40    9.70       0
    67108864       8388608     float     sum      -1  3446.61   19.47    9.74       0  3439.20   19.51    9.76       0
   134217728      16777216     float     sum      -1  6838.88   19.63    9.81       0  6868.35   19.54    9.77       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 3.77723 
#
# Collective test concluded: reduce_scatter_perf
#

