# nccl-tests version 2.19.7 nccl-headers=23102 nccl-library=23102
# Collective test starting: all_gather_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   5700 on 1fde004aaa97 device  0 [0000:81:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  1 Group  0 Pid   5700 on 1fde004aaa97 device  1 [0000:82:00] NVIDIA RTX PRO 4500 Blackwell
NCCL version 2.31.2+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.24    0.00    0.00       0     0.23    0.00    0.00       0
           0             0     float    none      -1     0.23    0.00    0.00       0     0.23    0.00    0.00       0
          32             4     float    none      -1    10.99    0.00    0.00       0    10.83    0.00    0.00       0
          64             8     float    none      -1    10.91    0.01    0.00       0    10.94    0.01    0.00       0
         128            16     float    none      -1    10.77    0.01    0.01       0    10.92    0.01    0.01       0
         256            32     float    none      -1    10.96    0.02    0.01       0    10.73    0.02    0.01       0
         512            64     float    none      -1    10.97    0.05    0.02       0    10.71    0.05    0.02       0
        1024           128     float    none      -1    10.94    0.09    0.05       0    10.77    0.10    0.05       0
        2048           256     float    none      -1    10.74    0.19    0.10       0    11.20    0.18    0.09       0
        4096           512     float    none      -1    12.38    0.33    0.17       0    10.80    0.38    0.19       0
        8192          1024     float    none      -1    10.80    0.76    0.38       0    10.88    0.75    0.38       0
       16384          2048     float    none      -1    10.85    1.51    0.75       0    10.82    1.51    0.76       0
       32768          4096     float    none      -1    10.70    3.06    1.53       0    10.82    3.03    1.51       0
       65536          8192     float    none      -1    12.98    5.05    2.52       0    10.82    6.05    3.03       0
      131072         16384     float    none      -1    11.23   11.67    5.83       0    11.54   11.36    5.68       0
      262144         32768     float    none      -1    18.52   14.16    7.08       0    18.68   14.03    7.02       0
      524288         65536     float    none      -1    26.05   20.13   10.06       0    26.03   20.14   10.07       0
     1048576        131072     float    none      -1    38.99   26.89   13.45       0    38.69   27.10   13.55       0
     2097152        262144     float    none      -1    66.67   31.46   15.73       0    66.39   31.59   15.79       0
     4194304        524288     float    none      -1   124.59   33.66   16.83       0   123.64   33.92   16.96       0
     8388608       1048576     float    none      -1   246.81   33.99   16.99       0   243.79   34.41   17.20       0
    16777216       2097152     float    none      -1   480.98   34.88   17.44       0   475.65   35.27   17.64       0
    33554432       4194304     float    none      -1   940.89   35.66   17.83       0   932.82   35.97   17.99       0
    67108864       8388608     float    none      -1  1854.46   36.19   18.09       0  1785.88   37.58   18.79       0
   134217728      16777216     float    none      -1  3508.29   38.26   19.13       0  3408.50   39.38   19.69       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 6.60872 
#
# Collective test concluded: all_gather_perf
#

