# nccl-tests version 2.19.7 nccl-headers=23102 nccl-library=23102
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   5498 on 1fde004aaa97 device  0 [0000:81:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  1 Group  0 Pid   5498 on 1fde004aaa97 device  1 [0000:82:00] NVIDIA RTX PRO 4500 Blackwell
NCCL version 2.31.2+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    10.92    0.00    0.00       0    10.97    0.00    0.00       0
          16             4     float     sum      -1    10.71    0.00    0.00       0    11.39    0.00    0.00       0
          32             8     float     sum      -1    11.14    0.00    0.00       0    11.03    0.00    0.00       0
          64            16     float     sum      -1    11.00    0.01    0.01       0    10.89    0.01    0.01       0
         128            32     float     sum      -1    10.93    0.01    0.01       0    10.76    0.01    0.01       0
         256            64     float     sum      -1    10.88    0.02    0.02       0    10.66    0.02    0.02       0
         512           128     float     sum      -1    10.67    0.05    0.05       0    10.72    0.05    0.05       0
        1024           256     float     sum      -1    10.82    0.09    0.09       0    10.78    0.09    0.09       0
        2048           512     float     sum      -1    10.64    0.19    0.19       0    10.64    0.19    0.19       0
        4096          1024     float     sum      -1    13.32    0.31    0.31       0    12.38    0.33    0.33       0
        8192          2048     float     sum      -1    12.61    0.65    0.65       0    12.67    0.65    0.65       0
       16384          4096     float     sum      -1    12.48    1.31    1.31       0    12.49    1.31    1.31       0
       32768          8192     float     sum      -1    10.88    3.01    3.01       0    10.80    3.03    3.03       0
       65536         16384     float     sum      -1    11.29    5.81    5.81       0    11.23    5.84    5.84       0
      131072         32768     float     sum      -1    17.66    7.42    7.42       0    17.65    7.43    7.43       0
      262144         65536     float     sum      -1    30.96    8.47    8.47       0    30.94    8.47    8.47       0
      524288        131072     float     sum      -1    39.21   13.37   13.37       0    39.12   13.40   13.40       0
     1048576        262144     float     sum      -1    63.54   16.50   16.50       0    63.48   16.52   16.52       0
     2097152        524288     float     sum      -1   116.67   17.97   17.97       0   117.03   17.92   17.92       0
     4194304       1048576     float     sum      -1   224.56   18.68   18.68       0   222.43   18.86   18.86       0
     8388608       2097152     float     sum      -1   446.43   18.79   18.79       0   440.11   19.06   19.06       0
    16777216       4194304     float     sum      -1   877.00   19.13   19.13       0   864.12   19.42   19.42       0
    33554432       8388608     float     sum      -1  1718.07   19.53   19.53       0  1696.55   19.78   19.78       0
    67108864      16777216     float     sum      -1  3394.16   19.77   19.77       0  3358.90   19.98   19.98       0
   134217728      33554432     float     sum      -1  6658.09   20.16   20.16       0  6651.86   20.18   20.18       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 7.67631 
#
# Collective test concluded: all_reduce_perf
#

