# nccl-tests version 2.19.7 nccl-headers=23102 nccl-library=23102
# Collective test starting: all_gather_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   6652 on 1fde004aaa97 device  0 [0000:81:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  1 Group  0 Pid   6652 on 1fde004aaa97 device  1 [0000:82:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  2 Group  0 Pid   6652 on 1fde004aaa97 device  2 [0000:c1:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  3 Group  0 Pid   6652 on 1fde004aaa97 device  3 [0000:c2:00] NVIDIA RTX PRO 4500 Blackwell
NCCL version 2.31.2+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.37    0.00    0.00       0     0.36    0.00    0.00       0
           0             0     float    none      -1     0.36    0.00    0.00       0     0.36    0.00    0.00       0
           0             0     float    none      -1     0.36    0.00    0.00       0     0.36    0.00    0.00       0
          64             4     float    none      -1    20.78    0.00    0.00       0    20.84    0.00    0.00       0
         128             8     float    none      -1    20.89    0.01    0.00       0    21.36    0.01    0.00       0
         256            16     float    none      -1    20.81    0.01    0.01       0    23.79    0.01    0.01       0
         512            32     float    none      -1    20.81    0.02    0.02       0    20.67    0.02    0.02       0
        1024            64     float    none      -1    20.84    0.05    0.04       0    24.26    0.04    0.03       0
        2048           128     float    none      -1    20.71    0.10    0.07       0    20.71    0.10    0.07       0
        4096           256     float    none      -1    20.63    0.20    0.15       0    20.62    0.20    0.15       0
        8192           512     float    none      -1    20.53    0.40    0.30       0    20.47    0.40    0.30       0
       16384          1024     float    none      -1    20.65    0.79    0.60       0    20.66    0.79    0.59       0
       32768          2048     float    none      -1    20.98    1.56    1.17       0    21.20    1.55    1.16       0
       65536          4096     float    none      -1    25.74    2.55    1.91       0    24.71    2.65    1.99       0
      131072          8192     float    none      -1    35.00    3.74    2.81       0    40.36    3.25    2.44       0
      262144         16384     float    none      -1    68.74    3.81    2.86       0    86.67    3.02    2.27       0
      524288         32768     float    none      -1    78.67    6.66    5.00       0    84.75    6.19    4.64       0
     1048576         65536     float    none      -1   175.02    5.99    4.49       0   170.23    6.16    4.62       0
     2097152        131072     float    none      -1   343.46    6.11    4.58       0   338.35    6.20    4.65       0
     4194304        262144     float    none      -1   684.09    6.13    4.60       0   684.60    6.13    4.60       0
     8388608        524288     float    none      -1  1415.27    5.93    4.45       0  1416.45    5.92    4.44       0
    16777216       1048576     float    none      -1  2783.50    6.03    4.52       0  2805.77    5.98    4.48       0
    33554432       2097152     float    none      -1  5608.84    5.98    4.49       0  6095.44    5.50    4.13       0
    67108864       4194304     float    none      -1  12044.4    5.57    4.18       0  11685.7    5.74    4.31       0
   134217728       8388608     float    none      -1  24454.2    5.49    4.12       0  24651.4    5.44    4.08       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.98681 
#
# Collective test concluded: all_gather_perf
#

