# nccl-tests version 2.19.7 nccl-headers=23102 nccl-library=23102
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   6793 on 1fde004aaa97 device  0 [0000:81:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  1 Group  0 Pid   6793 on 1fde004aaa97 device  1 [0000:82:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  2 Group  0 Pid   6793 on 1fde004aaa97 device  2 [0000:c1:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  3 Group  0 Pid   6793 on 1fde004aaa97 device  3 [0000:c2:00] NVIDIA RTX PRO 4500 Blackwell
NCCL version 2.31.2+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    21.25    0.00    0.00       0    21.30    0.00    0.00       0
          16             4     float     sum      -1    20.97    0.00    0.00       0    21.08    0.00    0.00       0
          32             8     float     sum      -1    22.52    0.00    0.00       0    23.16    0.00    0.00       0
          64            16     float     sum      -1    21.35    0.00    0.00       0    21.43    0.00    0.00       0
         128            32     float     sum      -1    21.30    0.01    0.01       0    21.16    0.01    0.01       0
         256            64     float     sum      -1    21.12    0.01    0.02       0    21.15    0.01    0.02       0
         512           128     float     sum      -1    21.12    0.02    0.04       0    21.36    0.02    0.04       0
        1024           256     float     sum      -1    21.10    0.05    0.07       0    21.10    0.05    0.07       0
        2048           512     float     sum      -1    20.94    0.10    0.15       0    21.15    0.10    0.15       0
        4096          1024     float     sum      -1    20.97    0.20    0.29       0    21.22    0.19    0.29       0
        8192          2048     float     sum      -1    21.06    0.39    0.58       0    21.10    0.39    0.58       0
       16384          4096     float     sum      -1    21.22    0.77    1.16       0    21.21    0.77    1.16       0
       32768          8192     float     sum      -1    24.36    1.35    2.02       0    23.95    1.37    2.05       0
       65536         16384     float     sum      -1    39.59    1.66    2.48       0    33.89    1.93    2.90       0
      131072         32768     float     sum      -1    60.41    2.17    3.25       0    61.12    2.14    3.22       0
      262144         65536     float     sum      -1   119.60    2.19    3.29       0   141.35    1.85    2.78       0
      524288        131072     float     sum      -1   143.77    3.65    5.47       0   145.02    3.62    5.42       0
     1048576        262144     float     sum      -1   297.68    3.52    5.28       0   288.55    3.63    5.45       0
     2097152        524288     float     sum      -1   578.01    3.63    5.44       0   569.11    3.68    5.53       0
     4194304       1048576     float     sum      -1  1124.02    3.73    5.60       0  1126.02    3.72    5.59       0
     8388608       2097152     float     sum      -1  2227.16    3.77    5.65       0  2223.20    3.77    5.66       0
    16777216       4194304     float     sum      -1  4483.17    3.74    5.61       0  4454.01    3.77    5.65       0
    33554432       8388608     float     sum      -1  9501.04    3.53    5.30       0  9243.42    3.63    5.45       0
    67108864      16777216     float     sum      -1  18969.6    3.54    5.31       0  18210.9    3.69    5.53       0
   134217728      33554432     float     sum      -1  38399.6    3.50    5.24       0  38489.4    3.49    5.23       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 2.50092 
#
# Collective test concluded: all_reduce_perf
#

