# nccl-tests version 2.19.7 nccl-headers=23102 nccl-library=23102
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   6729 on 1fde004aaa97 device  0 [0000:81:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  1 Group  0 Pid   6729 on 1fde004aaa97 device  1 [0000:82:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  2 Group  0 Pid   6729 on 1fde004aaa97 device  2 [0000:c1:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  3 Group  0 Pid   6729 on 1fde004aaa97 device  3 [0000:c2:00] NVIDIA RTX PRO 4500 Blackwell
NCCL version 2.31.2+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.37    0.00    0.00       0     0.36    0.00    0.00       0
           0             0     float     sum      -1     0.37    0.00    0.00       0     0.36    0.00    0.00       0
           0             0     float     sum      -1     0.36    0.00    0.00       0     0.36    0.00    0.00       0
          64             4     float     sum      -1    20.88    0.00    0.00       0    20.89    0.00    0.00       0
         128             8     float     sum      -1    20.87    0.01    0.00       0    20.73    0.01    0.00       0
         256            16     float     sum      -1    20.84    0.01    0.01       0    20.90    0.01    0.01       0
         512            32     float     sum      -1    20.84    0.02    0.02       0    20.81    0.02    0.02       0
        1024            64     float     sum      -1    20.97    0.05    0.04       0    20.87    0.05    0.04       0
        2048           128     float     sum      -1    20.76    0.10    0.07       0    20.73    0.10    0.07       0
        4096           256     float     sum      -1    20.55    0.20    0.15       0    20.60    0.20    0.15       0
        8192           512     float     sum      -1    20.59    0.40    0.30       0    20.50    0.40    0.30       0
       16384          1024     float     sum      -1    20.68    0.79    0.59       0    20.48    0.80    0.60       0
       32768          2048     float     sum      -1    21.04    1.56    1.17       0    21.02    1.56    1.17       0
       65536          4096     float     sum      -1    26.76    2.45    1.84       0    27.18    2.41    1.81       0
      131072          8192     float     sum      -1    48.06    2.73    2.05       0    50.01    2.62    1.97       0
      262144         16384     float     sum      -1    79.54    3.30    2.47       0    80.49    3.26    2.44       0
      524288         32768     float     sum      -1    86.46    6.06    4.55       0    86.17    6.08    4.56       0
     1048576         65536     float     sum      -1   174.09    6.02    4.52       0   169.84    6.17    4.63       0
     2097152        131072     float     sum      -1   337.18    6.22    4.66       0   326.84    6.42    4.81       0
     4194304        262144     float     sum      -1   658.33    6.37    4.78       0   631.43    6.64    4.98       0
     8388608        524288     float     sum      -1  1253.27    6.69    5.02       0  1266.84    6.62    4.97       0
    16777216       1048576     float     sum      -1  2452.85    6.84    5.13       0  2442.75    6.87    5.15       0
    33554432       2097152     float     sum      -1  4889.53    6.86    5.15       0  4897.45    6.85    5.14       0
    67108864       4194304     float     sum      -1  10771.5    6.23    4.67       0  10500.0    6.39    4.79       0
   134217728       8388608     float     sum      -1  23050.0    5.82    4.37       0  22505.8    5.96    4.47       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 2.07288 
#
# Collective test concluded: reduce_scatter_perf
#

