# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   2305 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   2305 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   2305 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   2305 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    42.68    0.00    0.00       0    35.07    0.00    0.00       0
          64            16     float     sum      -1    31.04    0.00    0.00       0    30.36    0.00    0.00       0
         512           128     float     sum      -1    30.54    0.02    0.03       0    30.70    0.02    0.03       0
        4096          1024     float     sum      -1    30.66    0.13    0.20       0    30.55    0.13    0.20       0
       32768          8192     float     sum      -1    40.48    0.81    1.21       0    41.28    0.79    1.19       0
      262144         65536     float     sum      -1   197.93    1.32    1.99       0   181.92    1.44    2.16       0
     2097152        524288     float     sum      -1  1415.29    1.48    2.22       0  1426.94    1.47    2.20       0
    16777216       4194304     float     sum      -1  11291.0    1.49    2.23       0  11447.3    1.47    2.20       0
   134217728      33554432     float     sum      -1   100030    1.34    2.01       0   100035    1.34    2.01       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.10506 
#
# Collective test concluded: all_reduce_perf
#

