# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   2662 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   2662 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   2662 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   2662 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    38.40    0.00    0.00       0    38.33    0.00    0.00       0
          64            16     float     sum      -1    44.00    0.00    0.00       0    43.96    0.00    0.00       0
         512           128     float     sum      -1    44.03    0.01    0.02       0    44.20    0.01    0.02       0
        4096          1024     float     sum      -1    44.10    0.09    0.14       0    44.01    0.09    0.14       0
       32768          8192     float     sum      -1    65.91    0.50    0.75       0    65.53    0.50    0.75       0
      262144         65536     float     sum      -1   186.50    1.41    2.11       0   178.39    1.47    2.20       0
     2097152        524288     float     sum      -1  1464.12    1.43    2.15       0  1307.34    1.60    2.41       0
    16777216       4194304     float     sum      -1  11735.4    1.43    2.14       0  11713.8    1.43    2.15       0
   134217728      33554432     float     sum      -1   100870    1.33    2.00       0   101025    1.33    1.99       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.05353 
#
# Collective test concluded: all_reduce_perf
#

