# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   5106 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   5106 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   5106 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   5106 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    42.90    0.00    0.00       0    31.01    0.00    0.00       0
          64            16     float     sum      -1    31.39    0.00    0.00       0    31.35    0.00    0.00       0
         512           128     float     sum      -1    31.06    0.02    0.02       0    31.34    0.02    0.02       0
        4096          1024     float     sum      -1    30.89    0.13    0.20       0    28.10    0.15    0.22       0
       32768          8192     float     sum      -1    44.15    0.74    1.11       0    44.64    0.73    1.10       0
      262144         65536     float     sum      -1   144.81    1.81    2.72       0   128.15    2.05    3.07       0
     2097152        524288     float     sum      -1   944.68    2.22    3.33       0   939.36    2.23    3.35       0
    16777216       4194304     float     sum      -1  9693.74    1.73    2.60       0  9571.08    1.75    2.63       0
   134217728      33554432     float     sum      -1  75688.9    1.77    2.66       0  75816.3    1.77    2.66       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.42729 
#
# Collective test concluded: all_reduce_perf
#

