# ring-allreduce custom implementation
# device 0: NVIDIA L4  sm_89  pci=0000:81:00
# device 1: NVIDIA L4  sm_89  pci=0000:a1:00
# device 2: NVIDIA L4  sm_89  pci=0000:c1:00
# device 3: NVIDIA L4  sm_89  pci=0000:e1:00
# peer-access matrix (row can access column):
#   dev0: - yes yes yes
#   dev1: yes - yes yes
#   dev2: yes yes - yes
#   dev3: yes yes yes -
# functional peer test on the identity ring (capability bit is not enough):
#   dev0 -> dev1 : canAccessPeer=yes  transfers_correct=NO
#   dev1 -> dev2 : canAccessPeer=yes  transfers_correct=NO
#   dev2 -> dev3 : canAccessPeer=yes  transfers_correct=NO
#   dev3 -> dev0 : canAccessPeer=yes  transfers_correct=NO
# NO ring permutation of 4 GPUs has WORKING direct peer access
# running in EXPLICIT host-staged mode (NOT direct P2P)
# ring order: 0 1 2 3  transport=host-staged
NCCL version 2.25.1+cuda12.8
impl,subchunks,transport,ranks,size_bytes,elements,warmup,iters,latency_us,algbw_gbps,busbw_gbps,bytes_moved_per_rank,bytes_expected_per_rank,max_abs_err,mismatches
v1-naive,0,host-staged,4,1024,256,5,20,13293.136,0.0001,0.0001,1536,1536,0.000000,0
v2-async,0,host-staged,4,1024,256,5,20,4440.852,0.0002,0.0003,1536,1536,0.000000,0
v3-pipelined,2,host-staged,4,1024,256,5,20,4449.824,0.0002,0.0003,1536,1536,0.000000,0
v3-pipelined,4,host-staged,4,1024,256,5,20,4467.387,0.0002,0.0003,1536,1536,0.000000,0
v3-pipelined,8,host-staged,4,1024,256,5,20,8943.255,0.0001,0.0002,1536,1536,0.000000,0
v3-pipelined,16,host-staged,4,1024,256,5,20,7039.143,0.0001,0.0002,1536,1536,0.000000,0
nccl-reference,0,host-staged,4,1024,256,5,20,4442.936,0.0002,0.0003,0,1536,0.000000,0
v1-naive,0,host-staged,4,32768,8192,5,20,13518.652,0.0024,0.0036,49152,49152,0.000000,0
v2-async,0,host-staged,4,32768,8192,5,20,4441.155,0.0074,0.0111,49152,49152,0.000000,0
v3-pipelined,2,host-staged,4,32768,8192,5,20,4455.744,0.0074,0.0110,49152,49152,0.000000,0
v3-pipelined,4,host-staged,4,32768,8192,5,20,4473.150,0.0073,0.0110,49152,49152,0.000000,0
v3-pipelined,8,host-staged,4,32768,8192,5,20,4512.822,0.0073,0.0109,49152,49152,0.000000,0
v3-pipelined,16,host-staged,4,32768,8192,5,20,4591.584,0.0071,0.0107,49152,49152,0.000000,0
nccl-reference,0,host-staged,4,32768,8192,5,20,4458.532,0.0073,0.0110,0,49152,0.000000,0
v1-naive,0,host-staged,4,1048576,262144,5,20,13300.209,0.0788,0.1183,1572864,1572864,0.000000,0
v2-async,0,host-staged,4,1048576,262144,5,20,4444.451,0.2359,0.3539,1572864,1572864,0.000000,0
v3-pipelined,2,host-staged,4,1048576,262144,5,20,4463.431,0.2349,0.3524,1572864,1572864,0.000000,0
v3-pipelined,4,host-staged,4,1048576,262144,5,20,4472.581,0.2344,0.3517,1572864,1572864,0.000000,0
v3-pipelined,8,host-staged,4,1048576,262144,5,20,4507.068,0.2327,0.3490,1572864,1572864,0.000000,0
v3-pipelined,16,host-staged,4,1048576,262144,5,20,5266.829,0.1991,0.2986,1572864,1572864,0.000000,0
nccl-reference,0,host-staged,4,1048576,262144,5,20,4767.501,0.2199,0.3299,0,1572864,0.000000,0
v1-naive,0,host-staged,4,16777216,4194304,5,20,17678.946,0.9490,1.4235,25165824,25165824,0.000000,0
v2-async,0,host-staged,4,16777216,4194304,5,20,10785.104,1.5556,2.3334,25165824,25165824,0.000000,0
v3-pipelined,2,host-staged,4,16777216,4194304,5,20,8860.205,1.8935,2.8403,25165824,25165824,0.000000,0
v3-pipelined,4,host-staged,4,16777216,4194304,5,20,8892.724,1.8866,2.8299,25165824,25165824,0.000000,0
v3-pipelined,8,host-staged,4,16777216,4194304,5,20,8934.925,1.8777,2.8166,25165824,25165824,0.000000,0
v3-pipelined,16,host-staged,4,16777216,4194304,5,20,9017.859,1.8604,2.7907,25165824,25165824,0.000000,0
nccl-reference,0,host-staged,4,16777216,4194304,5,20,19688.294,0.8521,1.2782,0,25165824,0.000000,0
v1-naive,0,host-staged,4,134217728,33554432,5,20,62565.063,2.1453,3.2179,201326592,201326592,0.000000,0
v2-async,0,host-staged,4,134217728,33554432,5,20,42406.531,3.1650,4.7475,201326592,201326592,0.000000,0
v3-pipelined,2,host-staged,4,134217728,33554432,5,20,41579.680,3.2280,4.8419,201326592,201326592,0.000000,0
v3-pipelined,4,host-staged,4,134217728,33554432,5,20,42175.021,3.1824,4.7736,201326592,201326592,0.000000,0
v3-pipelined,8,host-staged,4,134217728,33554432,5,20,42082.029,3.1894,4.7841,201326592,201326592,0.000000,0
v3-pipelined,16,host-staged,4,134217728,33554432,5,20,42761.971,3.1387,4.7081,201326592,201326592,0.000000,0
nccl-reference,0,host-staged,4,134217728,33554432,5,20,154519.595,0.8686,1.3029,0,201326592,0.000000,0
