

Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.9,509240332,32,15913760.4,13823019.5,3582562,32623738,9032092.1,cudaHostRegister
24.9,397849113,232,1714866.9,2750.5,1723,30285108,6485436.0,cudaStreamSynchronize
23.3,371865253,32,11620789.2,2610886.5,357178,62591686,17813394.4,cudaHostUnregister
5.1,81987086,13924,5888.2,3627.0,3366,14499869,142912.2,cudaLaunchKernel
3.2,50598407,13924,3633.9,3447.0,3086,130578,1319.1,cuLaunchKernel
2.1,33336023,400,83340.1,3637.0,3066,7994257,792221.1,cuLaunchKernelEx
2.0,32708210,4,8177052.5,7315614.5,2809194,15267787,5195661.5,cuLibraryLoadData
1.6,26267822,32,820869.4,743561.5,392785,1979689,293880.2,cuMemSetAccess
0.9,13848127,83544,165.8,131.0,110,126891,449.4,cuStreamGetCaptureInfo_v2
0.8,12337391,36,342705.3,153586.5,621,2190750,652960.4,cudaFree
0.7,11935730,12,994644.2,171906.5,63981,2932758,1279619.7,cudaHostAlloc
0.6,9902359,14792,669.4,631.0,491,6122,184.3,cudaEventRecord
0.6,9109209,13924,654.2,281.0,250,1311680,21423.2,cuKernelGetFunction
0.4,6859935,12,571661.3,49504.0,15329,2312180,865660.8,cudaFreeHost
0.3,5446601,32,170206.3,162904.5,104599,337671,54572.8,cuMemUnmap
0.3,4644289,32,145134.0,109478.0,85933,510890,93905.1,cuMemMap
0.3,4629360,32,144667.5,125283.0,48522,656195,122586.1,cuMemCreate
0.2,3203101,64,50048.5,26270.0,160,278548,64871.0,cuMemRelease
0.2,3156004,28,112714.4,176039.0,2615,246077,96747.3,cudaMalloc
0.2,2970571,64,46415.2,9508.0,4819,865433,153775.5,cudaMemcpyAsync
0.0,783859,4,195964.8,194414.5,112564,282466,80977.4,cudaMemPoolCreate_v11020
0.0,739053,824,896.9,741.0,561,15991,744.0,cudaStreamWaitEvent
0.0,539462,32,16858.2,10820.5,8406,42811,11202.1,cudaMemsetAsync
0.0,361744,32,11304.5,9883.5,4449,33233,7737.9,cuMemAddressReserve
0.0,323644,4,80911.0,35016.5,17052,236559,104114.4,cudaMemPoolDestroy_v11020
0.0,309684,1257,246.4,221.0,120,3607,145.9,cuGetProcAddress_v2
0.0,246993,68,3632.3,2625.0,1072,31008,4130.0,cudaDeviceSynchronize
0.0,212033,8,26504.1,26215.0,21881,31831,3101.3,cudaStreamCreateWithFlags
0.0,189440,256,740.0,621.0,240,5450,571.8,cudaThreadExchangeStreamCaptureMode_v10010
0.0,167559,12,13963.3,7949.5,5020,33774,11112.9,cudaMemset
0.0,158571,400,396.4,341.0,320,6863,345.8,cudaStreamGetCaptureInfo_v2_v11030
0.0,111903,32,3497.0,3316.0,1493,6362,1191.9,cuMemAddressFree
0.0,108925,16,6807.8,6016.0,3176,14878,3584.2,cudaStreamDestroy
0.0,94626,400,236.6,180.0,140,5831,303.8,cudaGetFuncBySymbol_v11000
0.0,77056,8,9632.0,6883.5,3246,27121,8368.0,cudaStreamCreate
0.0,73606,80,920.1,471.0,361,6042,1150.8,cudaEventCreateWithFlags
0.0,62618,96,652.3,496.0,320,2955,461.0,cudaEventDestroy
0.0,52319,32,1635.0,1483.0,421,6492,1120.9,cuMemRetainAllocationHandle
0.0,33023,4,8255.8,7268.5,7034,11452,2134.6,cudaEventQuery
0.0,31389,5,6277.8,7664.0,1052,12494,4895.2,cuLibraryGetKernel
0.0,20127,40,503.2,311.0,240,2074,464.5,cudaGetDriverEntryPoint_v11030
0.0,18196,16,1137.3,621.5,541,4308,1011.4,cudaEventCreate
0.0,15436,32,482.4,401.0,271,1192,243.4,cuMemGetAllocationGranularity
0.0,10229,5,2045.8,2214.0,1523,2525,427.7,cuInit
0.0,8427,4,2106.8,2059.0,1924,2385,196.2,cudaMemPoolSetAttribute_v11020
0.0,4087,4,1021.8,270.5,150,3396,1585.6,cuModuleGetLoadingMode

