

Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
69.9,866772188,32,27086630.9,25192094.5,5410933,76509048,19673496.4,cudaHostRegister
10.5,130576095,32,4080503.0,2671882.5,363650,11870247,3900737.4,cudaHostUnregister
4.2,52491405,232,226256.1,2540.0,1533,4147615,803761.9,cudaStreamSynchronize
3.0,36673021,2020,18155.0,3596.0,3397,14236789,370818.3,cudaLaunchKernel
2.6,32209632,4,8052408.0,7198983.0,2785658,15026008,5105045.3,cuLibraryLoadData
1.8,22124936,32,691404.3,652538.5,201552,1417992,311835.6,cuMemSetAccess
1.6,20053894,64,313342.1,3376.0,3026,5126804,1208644.2,cuLaunchKernelEx
1.0,12502526,36,347292.4,160540.0,611,2200227,657601.4,cudaFree
0.9,11478481,12,956540.1,123419.0,17864,2861633,1276571.0,cudaHostAlloc
0.6,7611191,12,634265.9,44189.0,17804,2225506,921508.7,cudaFreeHost
0.6,7341103,2020,3634.2,3426.0,3156,32762,1083.3,cuLaunchKernel
0.5,5632004,64,88000.1,9222.5,3136,2163358,364394.4,cudaMemcpyAsync
0.5,5622246,2020,2783.3,271.0,250,1298486,56043.3,cuKernelGetFunction
0.4,5484856,32,171401.8,163180.0,106813,332692,55353.9,cuMemUnmap
0.4,4473700,32,139803.1,107704.5,75623,446608,84306.4,cuMemMap
0.3,4233077,32,132283.7,97230.0,31219,594749,117732.0,cuMemCreate
0.3,3162214,64,49409.6,26354.5,190,278539,63747.1,cuMemRelease
0.3,3152644,28,112594.4,176034.5,2675,226400,96494.4,cudaMalloc
0.2,1958946,12120,161.6,130.0,110,5540,78.0,cuStreamGetCaptureInfo_v2
0.1,1800358,2216,812.4,641.0,501,158812,3471.4,cudaEventRecord
0.1,857088,4,214272.0,177317.0,152639,349815,91955.7,cudaMemPoolCreate_v11020
0.0,480190,32,15005.9,10565.0,5159,38343,10495.0,cudaMemsetAsync
0.0,355979,32,11124.3,9869.0,3356,37181,8062.2,cuMemAddressReserve
0.0,306964,1257,244.2,220.0,110,3426,142.7,cuGetProcAddress_v2
0.0,237097,68,3486.7,2475.0,1082,20339,3411.1,cudaDeviceSynchronize
0.0,187724,152,1235.0,786.5,571,11392,1285.0,cudaStreamWaitEvent
0.0,176997,8,22124.6,24802.5,4238,45727,13244.8,cudaStreamCreateWithFlags
0.0,176725,256,690.3,621.0,230,4448,524.4,cudaThreadExchangeStreamCaptureMode_v10010
0.0,174130,12,14510.8,8701.0,5139,34375,10678.0,cudaMemset
0.0,163480,4,40870.0,38733.5,28504,57509,12151.1,cudaMemPoolDestroy_v11020
0.0,112295,16,7018.4,6252.0,3217,15529,3598.7,cudaStreamDestroy
0.0,109298,32,3415.6,3241.5,1493,6522,1231.6,cuMemAddressFree
0.0,77058,8,9632.3,7299.0,3116,28304,8617.2,cudaStreamCreate
0.0,69917,80,874.0,466.0,370,4078,981.0,cudaEventCreateWithFlags
0.0,62795,96,654.1,526.0,321,2775,422.0,cudaEventDestroy
0.0,51099,32,1596.8,1307.0,420,5991,1109.1,cuMemRetainAllocationHandle
0.0,34326,4,8581.5,7810.0,7054,11652,2094.8,cudaEventQuery
0.0,32330,5,6466.0,8636.0,1292,12073,4863.6,cuLibraryGetKernel
0.0,27233,64,425.5,341.0,320,1933,247.0,cudaStreamGetCaptureInfo_v2_v11030
0.0,20148,40,503.7,330.5,260,2244,475.9,cudaGetDriverEntryPoint_v11030
0.0,18305,16,1144.1,616.0,551,4419,1030.7,cudaEventCreate
0.0,17745,64,277.3,231.0,150,951,179.4,cudaGetFuncBySymbol_v11000
0.0,14298,32,446.8,385.5,150,1232,257.3,cuMemGetAllocationGranularity
0.0,11863,5,2372.6,2275.0,1452,3316,729.7,cuInit
0.0,8246,4,2061.5,2169.0,1533,2375,368.2,cudaMemPoolSetAttribute_v11020
0.0,3637,4,909.3,245.5,161,2985,1385.4,cuModuleGetLoadingMode

