

Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.5,501733209,32,15679162.8,13330574.0,3646383,34041650,9082176.7,cudaHostRegister
24.0,423293049,232,1824539.0,2855.5,1513,30170782,6447785.5,cudaStreamSynchronize
16.9,297361873,32,9292558.5,2485464.0,342951,50713884,13812789.7,cudaHostUnregister
7.6,134068696,27268,4916.7,3717.0,3336,14302525,101100.1,cudaLaunchKernel
5.6,98200344,27268,3601.3,3527.0,3096,129566,1252.5,cuLaunchKernel
3.8,66666775,32,2083336.7,1635785.5,527431,8861845,1957364.1,cuMemSetAccess
1.8,31278978,32,977468.1,413440.0,88939,6960956,1627483.1,cuMemMap
1.7,29661865,28,1059352.3,177247.0,2655,7022562,1872211.4,cudaMalloc
1.5,26559338,163608,162.3,131.0,110,12885,100.0,cuStreamGetCaptureInfo_v2
1.3,22844000,4,5711000.0,6870293.5,1427079,7676334,2882503.8,cuLibraryLoadData
1.3,22356191,32,698631.0,333498.5,37491,6890212,1384175.3,cuMemCreate
1.1,20158856,64,314982.1,4113.0,3196,5091227,1210439.4,cuLaunchKernelEx
1.1,19673912,12,1639492.7,155896.0,30778,8824304,2713829.6,cudaHostAlloc
1.0,18483256,27464,673.0,631.0,491,56507,385.2,cudaEventRecord
0.7,12876989,27268,472.2,280.0,250,1316930,15354.5,cuKernelGetFunction
0.7,12566809,36,349078.0,163390.5,571,2207461,662149.4,cudaFree
0.4,7589960,12,632496.7,42500.5,15770,2319995,934438.3,cudaFreeHost
0.3,5557143,32,173660.7,164061.5,103026,382526,57697.1,cuMemUnmap
0.2,3244520,64,50695.6,26084.5,150,289469,65576.7,cuMemRelease
0.2,2981533,64,46586.5,9112.0,3216,864441,155393.1,cudaMemcpyAsync
0.0,742249,4,185562.3,191769.0,133123,225588,41743.8,cudaMemPoolCreate_v11020
0.0,523676,32,16364.9,11346.5,5010,41720,11108.7,cudaMemsetAsync
0.0,347542,32,10860.7,9468.5,3427,29927,7610.2,cuMemAddressReserve
0.0,315841,1257,251.3,230.0,110,3517,145.6,cuGetProcAddress_v2
0.0,240867,68,3542.2,2695.0,1092,18154,2700.2,cudaDeviceSynchronize
0.0,232101,4,58025.3,49779.5,35097,97445,29175.2,cudaMemPoolDestroy_v11020
0.0,194725,152,1281.1,791.5,571,12013,1470.5,cudaStreamWaitEvent
0.0,184118,256,719.2,611.0,240,4589,526.3,cudaThreadExchangeStreamCaptureMode_v10010
0.0,175372,12,14614.3,8400.5,5130,33454,11698.3,cudaMemset
0.0,133214,8,16651.8,20960.0,3677,27242,9226.9,cudaStreamCreateWithFlags
0.0,116171,32,3630.3,3301.0,1393,7685,1478.5,cuMemAddressFree
0.0,110875,16,6929.7,6077.0,3186,14819,3655.1,cudaStreamDestroy
0.0,76906,8,9613.3,7314.0,3166,28113,8578.7,cudaStreamCreate
0.0,66377,80,829.7,491.0,370,4038,848.3,cudaEventCreateWithFlags
0.0,63577,96,662.3,531.0,311,3176,409.9,cudaEventDestroy
0.0,56056,32,1751.8,1497.5,471,7304,1291.7,cuMemRetainAllocationHandle
0.0,32179,4,8044.8,7368.5,6542,10900,1958.9,cudaEventQuery
0.0,29534,40,738.4,621.0,330,2324,431.4,cudaGetDriverEntryPoint_v11030
0.0,29155,64,455.5,341.0,320,1623,241.7,cudaStreamGetCaptureInfo_v2_v11030
0.0,27180,5,5436.0,7394.0,911,9007,4086.0,cuLibraryGetKernel
0.0,22133,64,345.8,270.0,180,1273,234.1,cudaGetFuncBySymbol_v11000
0.0,19257,16,1203.6,601.0,551,4469,1090.3,cudaEventCreate
0.0,14599,32,456.2,416.0,171,1162,223.3,cuMemGetAllocationGranularity
0.0,10349,5,2069.8,2144.0,1633,2324,269.7,cuInit
0.0,7354,4,1838.5,1934.0,1362,2124,340.0,cudaMemPoolSetAttribute_v11020
0.0,4198,4,1049.5,315.5,160,3407,1573.8,cuModuleGetLoadingMode

