# overlap benchmark: 4 GPUs
# device 0: NVIDIA L4 sm_89
# device 1: NVIDIA L4 sm_89
# device 2: NVIDIA L4 sm_89
# device 3: NVIDIA L4 sm_89
# canAccessPeer 0->1: yes
# canAccessPeer 0->2: yes
# canAccessPeer 0->3: yes
# NCCL's own transport choice is the authority here; run with
# NCCL_DEBUG=INFO to capture it alongside these results.
NCCL version 2.25.1+cuda12.8
# gemm 512x512: 68.38 us per repetition (measured)
experiment,comm_bytes,ratio_target,gemm_reps,bucket_bytes,n_buckets,t_compute_us,t_comm_us,t_seq_us,t_overlap_us,t_ideal_us,overlap_efficiency,exposed_comm_us,comp_during_overlap_us,comm_during_overlap_us,repeat
micro,1048576,0.25,1,0,0,65.675,320.373,371.047,308.494,320.373,1.2344,242.819,126.528,297.248,0
micro,1048576,0.25,1,0,0,64.878,285.461,352.870,310.868,285.461,0.6231,245.990,123.968,289.344,1
micro,1048576,0.25,1,0,0,63.985,283.830,349.458,309.464,283.830,0.6094,245.479,126.496,290.720,2
micro,1048576,0.50,2,0,0,119.344,281.903,406.235,304.994,281.903,0.8143,185.651,178.528,292.288,0
micro,1048576,0.50,2,0,0,119.521,281.175,412.321,307.359,281.175,0.8003,187.838,187.232,295.104,1
micro,1048576,0.50,2,0,0,118.842,286.936,404.139,308.607,286.936,0.8151,189.765,174.528,294.656,2
micro,1048576,1.00,5,0,0,279.529,281.956,569.713,354.624,281.956,0.7475,75.096,328.000,287.680,0
micro,1048576,1.00,5,0,0,276.589,313.927,566.176,361.858,313.927,0.8100,85.269,331.168,291.392,1
micro,1048576,1.00,5,0,0,278.365,282.922,562.067,355.867,282.922,0.7387,77.502,337.856,292.800,2
micro,1048576,2.00,9,0,0,489.176,281.756,776.232,536.408,489.176,0.8355,47.233,512.320,347.808,0
micro,1048576,2.00,9,0,0,488.476,284.912,769.593,528.054,488.476,0.8592,39.577,509.280,342.048,1
micro,1048576,2.00,9,0,0,487.321,287.744,808.734,544.348,487.321,0.8226,57.026,511.680,354.976,2
micro,16777216,0.25,13,0,0,689.979,3588.060,4130.764,3483.462,3588.060,1.1927,2793.483,1669.120,3713.280,0
micro,16777216,0.25,13,0,0,694.162,3540.846,4170.997,3575.948,3540.846,0.9443,2881.786,1449.952,3552.096,1
micro,16777216,0.25,13,0,0,704.085,3489.578,4186.122,3529.186,3489.578,0.9431,2825.101,1405.216,3393.408,2
micro,16777216,0.50,26,0,0,1383.155,3422.430,4823.792,3575.370,3422.430,0.8909,2192.215,2000.448,3426.272,0
micro,16777216,0.50,26,0,0,1374.430,3468.079,4873.666,3568.724,3468.079,0.9284,2194.293,1963.136,3430.208,1
micro,16777216,0.50,26,0,0,1389.197,3462.237,4793.943,3523.546,3462.237,0.9540,2134.348,2019.808,3468.224,2
micro,16777216,1.00,52,0,0,2807.560,3501.477,6254.306,3697.658,3501.477,0.9287,890.098,3711.584,3657.248,0
micro,16777216,1.00,52,0,0,2793.580,3492.360,6326.149,3712.059,3492.360,0.9225,918.479,3732.224,3734.592,1
micro,16777216,1.00,52,0,0,2787.233,3498.740,6250.194,3700.115,3498.740,0.9268,912.882,3739.904,3714.752,2
micro,16777216,2.00,103,0,0,5588.231,3530.264,8951.111,5809.989,5588.231,0.9341,221.758,5747.264,3615.616,0
micro,16777216,2.00,103,0,0,5607.832,3486.853,8985.167,5804.760,5607.832,0.9417,196.928,5783.200,3643.552,1
micro,16777216,2.00,103,0,0,5627.949,3521.503,8855.110,5765.145,5627.949,0.9575,137.196,5785.632,3659.520,2
micro,134217728,0.25,102,0,0,5524.731,27653.086,33053.193,27959.527,27653.086,0.9433,22434.796,8388.032,28432.224,0
micro,134217728,0.25,102,0,0,5527.708,27961.227,33235.033,28283.767,27961.227,0.9388,22756.059,8426.592,28454.016,1
micro,134217728,0.25,102,0,0,5527.706,27559.586,33030.529,28078.162,27559.586,0.9052,22550.456,8630.880,28270.369,2
micro,134217728,0.50,204,0,0,11069.775,27753.901,38851.484,28285.760,27753.901,0.9521,17215.985,16195.999,28530.336,0
micro,134217728,0.50,204,0,0,11058.298,27744.069,38787.732,28259.938,27744.069,0.9533,17201.640,16354.208,28105.120,1
micro,134217728,0.50,204,0,0,11085.324,27697.574,38753.244,28220.347,27697.574,0.9527,17135.022,16472.063,28078.432,2
micro,134217728,1.00,408,0,0,22153.382,28013.766,49592.911,30442.202,28013.766,0.8875,8288.820,30301.279,28591.295,0
micro,134217728,1.00,408,0,0,22135.649,27775.724,49404.340,30433.663,27775.724,0.8771,8298.013,30456.097,28464.289,1
micro,134217728,1.00,408,0,0,22068.916,27748.079,49364.515,30440.608,27748.079,0.8754,8371.692,30392.033,28143.520,2
micro,134217728,2.00,817,0,0,47095.867,27917.399,75305.406,64427.847,47095.867,0.3856,17331.980,64560.799,50849.342,0
micro,134217728,2.00,817,0,0,47342.514,27840.088,75506.804,64469.839,47342.514,0.3919,17127.326,64710.144,51007.198,1
micro,134217728,2.00,817,0,0,47117.816,27895.043,75376.337,64524.130,47117.816,0.3840,17406.314,65092.545,51386.047,2
bucket,134217728,1.00,13,4194304,32,15415.263,29689.925,44343.307,30449.783,29689.925,0.9481,15034.520,26132.383,30222.303,0
bucket,134217728,1.00,13,4194304,32,15460.988,29605.282,44528.347,30620.225,29605.282,0.9320,15159.237,25319.201,30434.240,1
bucket,134217728,1.00,13,4194304,32,15485.160,29693.037,44359.861,30510.390,29693.037,0.9443,15025.231,25422.016,30132.608,2
bucket,134217728,1.00,25,8388608,16,15273.803,28897.039,43068.233,30185.540,28897.039,0.9091,14911.737,26769.632,30371.328,0
bucket,134217728,1.00,25,8388608,16,14966.613,28693.347,43097.450,30113.489,28693.347,0.9014,15146.876,26311.745,30137.024,1
bucket,134217728,1.00,25,8388608,16,15002.976,28813.852,43010.940,30106.694,28813.852,0.9089,15103.718,25837.120,29937.599,2
bucket,134217728,1.00,51,16777216,8,17782.159,27746.465,46109.130,30005.001,27746.465,0.8770,12222.842,27326.080,29938.496,0
bucket,134217728,1.00,51,16777216,8,15860.627,27711.647,42521.917,30299.171,27711.647,0.8253,14438.545,26876.961,30662.560,1
bucket,134217728,1.00,51,16777216,8,15998.819,27719.434,42733.126,30203.111,27719.434,0.8346,14204.292,26745.825,30058.304,2
bucket,134217728,1.00,103,33554432,4,16886.082,27583.936,43897.269,31660.438,27583.936,0.7501,14774.356,26810.848,31794.912,0
bucket,134217728,1.00,103,33554432,4,16902.727,27790.008,43753.668,31864.828,27790.008,0.7447,14962.101,25124.384,31852.608,1
bucket,134217728,1.00,103,33554432,4,16885.098,27704.908,43931.331,31776.100,27704.908,0.7491,14891.002,25236.383,31717.632,2
bucket,134217728,1.00,201,67108864,2,18296.644,28089.380,45542.380,35143.371,28089.380,0.5958,16846.727,26392.193,35124.321,0
bucket,134217728,1.00,201,67108864,2,18259.102,27829.787,45608.169,35098.652,27829.787,0.5911,16839.549,26036.448,34881.409,1
bucket,134217728,1.00,201,67108864,2,18261.343,28008.416,45653.938,34981.195,28008.416,0.6048,16719.852,25565.727,35024.384,2
