# overlap benchmark: 4 GPUs
# device 0: NVIDIA A40 sm_86
# device 1: NVIDIA A40 sm_86
# device 2: NVIDIA A40 sm_86
# device 3: NVIDIA A40 sm_86
# canAccessPeer 0->1: yes
# canAccessPeer 0->2: yes
# canAccessPeer 0->3: yes
# NCCL's own transport choice is the authority here; run with
# NCCL_DEBUG=INFO to capture it alongside these results.
# workload standalone characterisation (per repetition, per GPU):
#   compute-gemm      51.42 us  gemm 512x512  0.27 GFLOP  -> 5220.8 GFLOP/s  (AI ~ 85 flop/byte, design)
#   memory-triad     218.65 us  96 MiB moved -> 460.4 GB/s          (AI ~ 0.17 flop/byte, design)
#   mixed            165.63 us  64 MiB moved -> 405.2 GB/s          (AI ~ 8 flop/byte, design)
# arithmetic intensity is BY CONSTRUCTION; it is counter-verified only if
# Nsight Compute was available on this host (recorded separately).
experiment,workload,comm_bytes,ratio_target,gemm_reps,bucket_bytes,n_buckets,t_compute_us,t_comm_us,t_seq_us,t_overlap_us,t_ideal_us,overlap_efficiency,exposed_comm_us,comp_during_overlap_us,comm_during_overlap_us,repeat
micro,compute-gemm,134217728,1.50,1054,0,0,38521.287,36411.681,74946.078,50630.494,38521.287,0.6676,12109.207,50550.049,36443.520,0
micro,compute-gemm,134217728,1.50,1054,0,0,38715.199,36461.989,74967.720,50585.726,38715.199,0.6726,11870.526,50369.663,36539.490,1
micro,compute-gemm,134217728,1.50,1054,0,0,38546.003,36313.820,75114.763,50924.283,38546.003,0.6615,12378.280,50983.807,36853.855,2
micro,compute-gemm,134217728,2.00,1406,0,0,60411.289,36600.308,96944.813,76003.897,60411.289,0.5732,15592.608,76045.151,51973.858,0
micro,compute-gemm,134217728,2.00,1406,0,0,60390.743,36572.805,96741.575,76034.937,60390.743,0.5696,15644.193,75972.801,51905.567,1
micro,compute-gemm,134217728,2.00,1406,0,0,60387.588,36419.879,96762.094,75832.097,60387.588,0.5754,15444.509,75573.151,51436.481,2
micro,memory-triad,134217728,1.50,248,0,0,52037.729,36377.516,88355.739,57415.347,52037.729,0.8519,5377.618,57390.144,39507.553,0
micro,memory-triad,134217728,1.50,248,0,0,52039.235,36388.777,88607.917,57245.303,52039.235,0.8576,5206.068,57468.128,39293.282,1
micro,memory-triad,134217728,1.50,248,0,0,52040.284,36628.646,88483.500,57358.366,52040.284,0.8541,5318.082,57190.880,38835.583,2
micro,memory-triad,134217728,2.00,331,0,0,69454.785,36498.056,106699.610,75183.588,69454.785,0.8462,5728.804,75328.835,39359.840,0
micro,memory-triad,134217728,2.00,331,0,0,70106.217,36543.875,106763.196,75414.803,70106.217,0.8552,5308.586,75019.135,39175.552,1
micro,memory-triad,134217728,2.00,331,0,0,70099.650,36450.825,106646.816,75210.873,70099.650,0.8601,5111.223,75476.738,39191.170,2
micro,mixed,134217728,1.50,327,0,0,51759.375,36502.859,88139.974,57594.045,51759.375,0.8396,5834.671,57424.576,35398.750,0
micro,mixed,134217728,1.50,327,0,0,51742.621,36678.922,88302.621,57544.955,51742.621,0.8413,5802.334,57742.462,35672.768,1
micro,mixed,134217728,1.50,327,0,0,51870.123,36532.673,88246.117,57400.153,51870.123,0.8480,5530.030,57039.230,35276.222,2
micro,mixed,134217728,2.00,436,0,0,69094.062,36562.783,105528.844,74560.190,69094.062,0.8500,5466.128,74329.857,35094.082,0
micro,mixed,134217728,2.00,436,0,0,69148.832,36400.561,105673.680,74551.005,69148.832,0.8521,5402.173,74593.475,35389.183,1
micro,mixed,134217728,2.00,436,0,0,69082.923,36592.028,105603.578,74937.530,69082.923,0.8397,5854.607,74493.378,35709.854,2
