# overlap benchmark: 4 GPUs
# device 0: NVIDIA A40 sm_86
# device 1: NVIDIA A40 sm_86
# device 2: NVIDIA A40 sm_86
# device 3: NVIDIA A40 sm_86
# canAccessPeer 0->1: yes
# canAccessPeer 0->2: yes
# canAccessPeer 0->3: yes
# NCCL's own transport choice is the authority here; run with
# NCCL_DEBUG=INFO to capture it alongside these results.
# workload standalone characterisation (per repetition, per GPU):
#   compute-gemm      51.87 us  gemm 512x512  0.27 GFLOP  -> 5175.5 GFLOP/s  (AI ~ 85 flop/byte, design)
#   memory-triad     219.21 us  96 MiB moved -> 459.2 GB/s          (AI ~ 0.17 flop/byte, design)
#   mixed            165.46 us  64 MiB moved -> 405.6 GB/s          (AI ~ 8 flop/byte, design)
# arithmetic intensity is BY CONSTRUCTION; it is counter-verified only if
# Nsight Compute was available on this host (recorded separately).
experiment,workload,comm_bytes,ratio_target,gemm_reps,bucket_bytes,n_buckets,t_compute_us,t_comm_us,t_seq_us,t_overlap_us,t_ideal_us,overlap_efficiency,exposed_comm_us,comp_during_overlap_us,comm_during_overlap_us,repeat
micro,compute-gemm,134217728,0.25,181,0,0,6713.089,37788.944,44488.928,37997.602,37788.944,0.9689,31284.512,13291.232,38191.040,0
micro,compute-gemm,134217728,0.25,181,0,0,6637.737,37634.745,44061.797,37941.710,37634.745,0.9522,31303.973,13424.992,38164.673,1
micro,compute-gemm,134217728,0.25,181,0,0,6650.123,37713.012,44356.369,38206.547,37713.012,0.9257,31556.424,13254.368,38273.602,2
micro,compute-gemm,134217728,0.50,362,0,0,13311.159,37683.275,50909.165,38277.408,37683.275,0.9551,24966.249,26468.639,38142.368,0
micro,compute-gemm,134217728,0.50,362,0,0,13218.335,37570.179,50878.837,38194.442,37570.179,0.9531,24976.107,26668.991,38275.360,1
micro,compute-gemm,134217728,0.50,362,0,0,13363.205,37516.952,51007.581,38057.239,37516.952,0.9600,24694.035,26556.128,38262.817,2
micro,compute-gemm,134217728,0.75,543,0,0,19911.544,37632.972,57735.612,38762.078,37632.972,0.9438,18850.533,38877.377,38353.409,0
micro,compute-gemm,134217728,0.75,543,0,0,19897.845,37569.523,57579.507,38888.573,37569.523,0.9341,18990.727,39072.353,38690.849,1
micro,compute-gemm,134217728,0.75,543,0,0,20044.764,37671.359,58049.536,38920.719,37671.359,0.9387,18875.954,39045.887,38660.706,2
micro,compute-gemm,134217728,1.00,724,0,0,26567.353,37779.553,64032.297,43786.918,37779.553,0.7712,17219.565,43776.608,38182.690,0
micro,compute-gemm,134217728,1.00,724,0,0,26530.961,37430.435,64146.718,43943.002,37430.435,0.7562,17412.041,43872.578,38258.209,1
micro,compute-gemm,134217728,1.00,724,0,0,26563.179,37497.192,64554.605,44134.612,37497.192,0.7547,17571.433,44137.665,38612.320,2
micro,memory-triad,134217728,0.25,43,0,0,9039.689,37441.127,46641.764,38331.779,37441.127,0.9032,29292.091,11407.456,38545.696,0
