# overlap benchmark: 4 GPUs
# device 0: NVIDIA A40 sm_86
# device 1: NVIDIA A40 sm_86
# device 2: NVIDIA A40 sm_86
# device 3: NVIDIA A40 sm_86
# canAccessPeer 0->1: yes
# canAccessPeer 0->2: yes
# canAccessPeer 0->3: yes
# NCCL's own transport choice is the authority here; run with
# NCCL_DEBUG=INFO to capture it alongside these results.
# workload standalone characterisation (per repetition, per GPU):
#   compute-gemm      51.44 us  gemm 512x512  0.27 GFLOP  -> 5218.9 GFLOP/s  (AI ~ 85 flop/byte, design)
#   memory-triad     218.95 us  96 MiB moved -> 459.8 GB/s          (AI ~ 0.17 flop/byte, design)
#   mixed            165.40 us  64 MiB moved -> 405.7 GB/s          (AI ~ 8 flop/byte, design)
# arithmetic intensity is BY CONSTRUCTION; it is counter-verified only if
# Nsight Compute was available on this host (recorded separately).
experiment,workload,comm_bytes,ratio_target,gemm_reps,bucket_bytes,n_buckets,t_compute_us,t_comm_us,t_seq_us,t_overlap_us,t_ideal_us,overlap_efficiency,exposed_comm_us,comp_during_overlap_us,comm_during_overlap_us,repeat
micro,compute-gemm,1048576,1.00,6,0,0,246.133,336.622,586.043,368.255,336.622,0.8732,122.121,342.208,350.048,0
micro,compute-gemm,1048576,1.00,6,0,0,246.155,341.090,594.821,368.015,341.090,0.8939,121.860,356.416,339.424,1
micro,compute-gemm,1048576,1.00,6,0,0,247.305,348.420,593.639,369.764,348.420,0.9130,122.459,345.408,351.936,2
micro,memory-triad,1048576,1.00,2,0,0,430.737,341.438,777.058,592.284,430.737,0.5335,161.547,499.584,576.608,0
micro,memory-triad,1048576,1.00,2,0,0,429.030,338.780,771.444,590.645,429.030,0.5280,161.615,502.752,569.920,1
micro,memory-triad,1048576,1.00,2,0,0,429.630,337.097,772.058,588.867,429.630,0.5350,159.237,502.432,564.992,2
micro,mixed,1048576,1.00,2,0,0,323.932,336.769,655.847,486.290,336.769,0.5314,162.358,386.272,474.752,0
micro,mixed,1048576,1.00,2,0,0,322.656,342.172,663.028,495.409,342.172,0.5224,172.753,384.800,476.576,1
micro,mixed,1048576,1.00,2,0,0,324.985,346.427,659.753,493.706,346.427,0.5299,168.721,390.336,470.272,2
micro,compute-gemm,16777216,1.00,93,0,0,3440.788,4771.015,8178.190,5258.981,4771.015,0.8568,1818.193,5216.416,4781.696,0
micro,compute-gemm,16777216,1.00,93,0,0,3460.791,4736.683,8183.123,5215.635,4736.683,0.8610,1754.844,5206.144,4763.616,1
micro,compute-gemm,16777216,1.00,93,0,0,3433.574,4742.799,8173.541,5195.561,4742.799,0.8680,1761.987,5214.080,4777.856,2
micro,memory-triad,16777216,1.00,22,0,0,4635.435,4760.215,9398.004,5458.931,4760.215,0.8493,823.496,5411.712,5186.400,0
micro,memory-triad,16777216,1.00,22,0,0,4625.780,4753.906,9385.866,5509.914,4753.906,0.8368,884.134,5526.144,5287.808,1
micro,memory-triad,16777216,1.00,22,0,0,4628.194,4763.785,9387.620,5501.251,4763.785,0.8405,873.057,5426.112,5202.048,2
micro,mixed,16777216,1.00,29,0,0,4542.124,4784.702,9295.167,5460.307,4784.702,0.8502,918.183,5459.488,4810.336,0
micro,mixed,16777216,1.00,29,0,0,4548.375,4777.846,9290.371,5376.330,4777.846,0.8674,827.955,5411.616,4691.648,1
micro,mixed,16777216,1.00,29,0,0,4552.759,4804.280,9248.584,5395.856,4804.280,0.8669,843.097,5339.840,4651.680,2
micro,compute-gemm,134217728,1.00,729,0,0,26755.747,37376.150,63999.461,41537.708,37376.150,0.8437,14781.961,41763.870,37404.736,0
micro,compute-gemm,134217728,1.00,729,0,0,26652.579,37354.323,64298.860,41596.205,37354.323,0.8426,14943.626,41721.184,37582.878,1
micro,compute-gemm,134217728,1.00,729,0,0,26845.979,37049.208,64095.879,41616.954,37049.208,0.8311,14770.975,41599.136,37283.234,2
micro,memory-triad,134217728,1.00,171,0,0,35896.968,37331.278,72990.094,41258.983,37331.278,0.8899,5362.015,40967.777,38859.455,0
micro,memory-triad,134217728,1.00,171,0,0,35893.537,37235.935,73217.868,41141.173,37235.935,0.8915,5247.636,41020.226,38952.991,1
micro,memory-triad,134217728,1.00,171,0,0,35869.588,37126.496,73331.883,41261.212,37126.496,0.8858,5391.624,41244.766,39279.938,2
micro,mixed,134217728,1.00,227,0,0,35519.086,37300.676,72587.230,41377.312,37300.676,0.8845,5858.226,41165.024,35784.512,0
micro,mixed,134217728,1.00,227,0,0,35521.749,37067.303,73134.676,41599.249,37067.303,0.8743,6077.500,41705.761,36174.370,1
micro,mixed,134217728,1.00,227,0,0,35510.471,37283.474,72783.465,41460.737,37283.474,0.8823,5950.267,41443.935,35631.359,2
