Generating SQLite file /root/p9_out/prof/ddp-25mb.sqlite from /root/p9_out/prof/ddp-25mb.nsys-rep
Processing [/root/p9_out/prof/ddp-25mb.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.7,1676024727,24,69834363.6,77908519.5,31735733,99414668,30229684.9,PushPop,:backward
23.1,1145316552,4,286329138.0,287213009.0,281920096,288970438,3054756.7,PushPop,NCCL:ncclCommDestroy
19.1,950625370,4,237656342.5,237491403.5,237414159,238228404,384515.7,PushPop,NCCL:ncclCommInitRankConfig
9.9,489489261,24,20395385.9,20592243.5,4966295,35490651,15323401.3,PushPop,:forward
5.7,280813595,4,70203398.8,70132675.0,69618116,70930129,645255.3,PushPop,NCCL:ncclAllGather
5.5,272151884,24,11339661.8,16138134.0,509676,17591457,7754676.7,PushPop,:optimizer
1.2,61335427,64,958366.0,252449.5,107853,11752589,2779800.0,PushPop,CCCL:cub::DeviceRadixSort
0.7,33084242,612,54059.2,51380.0,23940,168533,22929.8,PushPop,NCCL:ncclAllReduce
0.6,28093316,296,94909.9,27090.5,23571,5310866,548791.9,PushPop,NCCL:ncclBroadcast
0.3,15826636,64,247291.2,42198.5,18563,4018271,831329.5,PushPop,CCCL:cub::DeviceScan::ExclusiveScan
0.2,8271323,64,129239.4,29919.5,16160,1709985,386916.9,PushPop,CCCL:cub::DeviceSelect::UniqueByKey
0.1,6987159,4,1746789.8,1925537.5,1150200,1985884,398839.5,PushPop,NCCL:ncclCommFinalize

