Generating SQLite file /root/p9_out/prof/ddp-64mb.sqlite from /root/p9_out/prof/ddp-64mb.nsys-rep
Processing [/root/p9_out/prof/ddp-64mb.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.7,4823764453,252,19141922.4,17611688.0,19009,105505825,9141761.8,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
6.5,936294360,1536,609566.6,654366.5,441219,852703,105039.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_nt_align8>(T1::Params)
5.1,729993520,1024,712884.3,717171.0,680227,747902,20368.9,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_tn
4.4,623088367,1024,608484.7,659284.5,500771,901477,89962.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_nn_align8>(T1::Params)
3.7,522962856,4288,121959.6,133537.0,7552,2868410,341327.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3.2,464224266,64,7253504.2,7255921.0,7219783,7271780,10149.9,"void at::native::<unnamed>::cunn_SoftMaxBackward<(int)4, float, float, float, at::native::<unnamed>::LogSoftMaxBackwardEpilogue>(T2 *, const T4 *, const T4 *, long)"
3.0,435671985,1088,400433.8,397938.5,374306,481730,12799.2,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)"
2.9,418198956,512,816794.8,802916.5,760036,984709,42878.8,"void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_kernel<Flash_bwd_kernel_traits<(int)64, (int)64, (int)128, (int)8, (int)2, (int)4, (int)4, (bool)1, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)64, (int)128, (int)8, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_bwd_params)"
2.9,408494491,300,1361648.3,1599938.0,391139,1659069,481512.0,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::FusedOptimizerTensorListMetadata<(int)4>, at::native::<unnamed>::FusedAdamMathFunctor<float, (int)4, (at::native::ADAM_MODE)1, (bool)0>, const float *, double, double, double, double, double, bool, const float *, const float *>(T1, T2, T3...)"
2.8,403042459,3264,123481.1,35072.0,8961,2895022,393429.2,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
2.7,382155783,512,746398.0,745106.0,709311,993124,35950.6,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn
2.0,290919207,64,4545612.6,4546895.5,4508472,4565815,13011.0,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::LogSoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
2.0,286130629,1300,220100.5,269312.5,1504,330626,103844.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.9,279050017,512,545019.6,543923.0,533123,622085,8659.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluBackwardCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16, c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.9,276787534,296,935093.0,175601.5,6145,29123034,3409493.7,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
1.9,270299197,512,527928.1,527298.5,514626,551519,5627.9,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
1.7,250187286,1088,229951.5,230144.5,216384,241858,4015.7,"void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)"
1.7,247094165,64,3860846.3,3859269.0,3787028,3944504,32840.4,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
1.6,235344326,512,459656.9,459665.0,448639,473183,4185.0,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0, (bool)0>(pytorch_flash::Flash_fwd_params)"
1.6,233720312,1024,228242.5,228432.0,223489,234529,2064.8,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)2>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
1.5,218220333,1088,200570.2,195792.5,184642,349346,22773.4,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernelTemplate<float, float, (unsigned int)32, (unsigned int)32, (unsigned int)256, (bool)0, (bool)1>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)"
1.5,208026630,64,3250416.1,3238944.5,3202001,3337273,34801.2,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
1.5,207990627,64,3249853.5,3250264.5,3179889,3329434,37686.5,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nt
1.3,183798598,512,358981.6,358865.0,355874,363458,1314.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.0,148849529,512,290721.7,288577.5,276831,365695,11094.7,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)3, (int)128, (int)1, (int)8>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.9,134796677,1088,123894.0,1760.0,1120,1946186,450815.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.8,109751218,512,214357.8,209761.5,194657,401858,19959.4,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_nt
0.7,105013370,512,205104.2,203313.0,196129,265410,8358.1,"void pytorch_flash::flash_bwd_dot_do_o_kernel<(bool)1, Flash_bwd_kernel_traits<(int)64, (int)64, (int)128, (int)8, (int)2, (int)4, (int)4, (bool)1, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)64, (int)128, (int)8, cutlass::bfloat16_t>>>(pytorch_flash::Flash_bwd_params)"
0.7,104811109,4416,23734.4,12688.0,1824,183776,31552.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.7,104210530,512,203536.2,201025.0,188865,261503,8425.1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_nn_align8>(T1::Params)
0.7,100558043,512,196402.4,195777.0,192481,205793,2330.6,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
0.6,79414548,512,155106.5,153536.5,144928,213569,8534.4,"void pytorch_flash::flash_bwd_convert_dq_kernel<Flash_bwd_kernel_traits<(int)64, (int)64, (int)128, (int)8, (int)2, (int)4, (int)4, (bool)1, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)64, (int)128, (int)8, cutlass::bfloat16_t>>>(pytorch_flash::Flash_bwd_params, int)"
0.1,17020193,64,265940.5,266033.5,263647,268578,1004.8,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,12173333,64,190208.3,190224.5,188545,192160,798.6,"void at::native::<unnamed>::compute_grad_weight<float, long>(const T2 *, const T1 *, const T2 *, long, long, const T2 *, const long *, at::AccumulateType<T1, (bool)1>::type *, long)"
0.1,12134001,128,94796.9,92016.5,12256,179169,82200.3,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.1,11633256,64,181769.6,181745.0,177504,185503,1991.7,"void at::native::<unnamed>::sum_and_scatter<float, long>(const T2 *, T1 *, long, const T2 *, const long *, const at::AccumulateType<T1, (bool)1>::type *, const T2 *, const long *, long, long)"
0.1,9834757,552,17816.6,3824.0,1440,181856,31456.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,6424893,64,100389.0,100369.0,98080,102849,859.6,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,4861654,8,607706.8,612324.5,225601,982310,398197.8,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)1, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,4141717,512,8089.3,7392.0,7232,11200,1276.6,"void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy900, (bool)0, long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long, int, int, at_cuda_detail::cub::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,3346861,276,12126.3,5680.0,2464,95041,16709.6,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,3223882,276,11680.7,3728.0,1536,108000,18916.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,3015026,276,10924.0,2624.0,1504,109601,18966.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,2346311,64,36661.1,36688.0,35744,37472,407.8,"void at::native::<unnamed>::embedding_backward_feature_kernel<float, float, long>(const T3 *, const T1 *, T1 *, int, long, int)"
0.0,1695146,4,423786.5,178112.5,14368,1324553,607662.3,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.0,1587432,276,5751.6,2064.0,1664,66848,10912.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,1514308,64,23661.1,23296.0,21792,37632,2358.1,"void at::native::<unnamed>::nll_loss_backward_reduce_cuda_kernel_2d<float, long>(T1 *, const T1 *, const T2 *, const T1 *, const T1 *, bool, int, int, long, long)"
0.0,1501828,276,5441.4,5024.0,2432,31808,5018.9,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.0,1309667,64,20463.5,20448.0,19808,21024,237.5,"void at::native::<unnamed>::nll_loss_forward_reduce_cuda_kernel_2d<float, float, long>(T1 *, T1 *, const T1 *, const T3 *, const T1 *, bool, long, long, long, long)"
0.0,507266,276,1837.9,1728.0,1568,2400,272.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::maximum_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)]>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,334369,64,5224.5,5216.0,5120,5344,57.9,"void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy900, (bool)0, long, unsigned long long, at_cuda_detail::cub::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,319519,64,4992.5,4992.0,4768,5184,87.9,"void at_cuda_detail::cub::DeviceUniqueByKeySweepKernel<at_cuda_detail::cub::DeviceUniqueByKeyPolicy<const long *, thrust::THRUST_200700_700_750_800_860_900_1000_1200_NS::counting_iterator<int, thrust::THRUST_200700_700_750_800_860_900_1000_1200_NS::use_default, thrust::THRUST_200700_700_750_800_860_900_1000_1200_NS::use_default, thrust::THRUST_200700_700_750_800_860_900_1000_1200_NS::use_default>>::Policy900, const long *, thrust::THRUST_200700_700_750_800_860_900_1000_1200_NS::counting_iterator<int, thrust::THRUST_200700_700_750_800_860_900_1000_1200_NS::use_default, thrust::THRUST_200700_700_750_800_860_900_1000_1200_NS::use_default, thrust::THRUST_200700_700_750_800_860_900_1000_1200_NS::use_default>, long *, long *, long *, at_cuda_detail::cub::ScanTileState<unsigned long long, (bool)1>, cuda::std::__4::equal_to<void>, unsigned long long>(T2, T3, T4, T5, T6, T7, T8, T9, int, at_cuda_detail::cub::detail::vsmem_t)"
0.0,215330,64,3364.5,3360.5,3040,3520,90.8,"void at_cuda_detail::cub::DeviceScanKernel<at_cuda_detail::cub::DeviceScanPolicy<long, at::cuda::cub::<unnamed>::SumOp<long>>::Policy900, const long *, long *, at_cuda_detail::cub::ScanTileState<long, (bool)1>, at::cuda::cub::<unnamed>::SumOp<long>, at_cuda_detail::cub::detail::InputValue<long, long *>, unsigned int, long, (bool)0>(T2, T3, T4, int, T5, T6, T7)"
