schema_version,experiment_id,phase,timestamp,value_kind,git_commit,provider,hostname,os,cpu_model,node_count,gpu_model,gpu_count,topology_summary,network,nvlink_present,p2p_enabled,transport,cuda_version,driver_version,nccl_version,compiler_version,benchmark_tool,config_label,workload_class,collective,datatype,message_size_bytes,bucket_bytes,n_buckets,compute_reps,placement,warmup_iterations,measured_iterations,repeat_index,t_compute_us,t_comm_us,t_seq_us,t_overlap_us,t_ideal_us,overlap_efficiency,exposed_comm_us,compute_during_overlap_us,comm_during_overlap_us,latency_us,correctness_ok,command,raw_output_path,notes,algorithmic_bandwidth_gbps,bandwidth_ratio_ok,bus_bandwidth_gbps,count_elements,cpu_cores,env,exit_code,git_dirty,gpus,hosts,kernel,launcher,mpi_implementation,mpi_version,nccl_algo,nccl_extra_env,nccl_proto,nccl_tests_commit,nccl_version_source,net_interface,out_of_bounds_ok,provider_instance_id,rank_to_host,ranks_per_node,redop,root,tier,topology,transport_verified,wrong_count
1,p7b-overlap-20260829T040506Z-ec065cb,phase7,2026-08-29T04:06:05Z,measured,ec065cb3654e16737ca45d7ba2b83955cc682459,unknown,78c52ce555ca,Ubuntu 24.04.3 LTS,AMD EPYC 7702 64-Core Processor,1,NVIDIA L4,4,SYS,none-single-node,False,False,shm-nccl,12.8,550.127.05,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,overlap-bench,micro-ratio0.25,,all_reduce,float,1048576,,,1,in_place,3,10,0,65.675,320.373,371.047,308.494,320.373,1.2344,242.819,126.528,297.248,308.494,True,overlap_bench -g 4 -w 3 -n 10 --repeats 3 --gemm 512,results/raw/p7b-overlap-20260829T040506Z-ec065cb/overlap_bench.stdout.txt,experiment=micro ratio_target=0.25,,,,,128,"{""CUDA_HOME"":""/usr/local/cuda""}",0,False,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:02:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:41:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":2,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:81:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":16,""pcie_link_width_max"":16},{""index"":3,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C2:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16}]",,6.8.0-40-generic,,,,,,,,nccl.h (/usr/include/nccl.h),,,,,,sum,,full,"	[4mGPU0	GPU1	GPU2	GPU3	CPU Affinity	NUMA Affinity	GPU NUMA ID[0m
GPU0	 X 	SYS	SYS	SYS	0-127	0		N/A
GPU1	SYS	 X 	SYS	SYS	0-127	0		N/A
GPU2	SYS	SYS	 X 	SYS	0-127	0		N/A
GPU3	SYS	SYS	SYS	 X 	0-127	0		N/A

Legend:

  X    = Self
  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)
  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node
  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)
  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)
  PIX  = Connection traversing at most a single PCIe bridge
  NV#  = Connection traversing a bonded set of # NVLinks",True,
1,p7b-overlap-20260829T040506Z-ec065cb,phase7,2026-08-29T04:06:05Z,measured,ec065cb3654e16737ca45d7ba2b83955cc682459,unknown,78c52ce555ca,Ubuntu 24.04.3 LTS,AMD EPYC 7702 64-Core Processor,1,NVIDIA L4,4,SYS,none-single-node,False,False,shm-nccl,12.8,550.127.05,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,overlap-bench,micro-ratio0.25,,all_reduce,float,1048576,,,1,in_place,3,10,1,64.878,285.461,352.87,310.868,285.461,0.6231,245.99,123.968,289.344,310.868,True,overlap_bench -g 4 -w 3 -n 10 --repeats 3 --gemm 512,results/raw/p7b-overlap-20260829T040506Z-ec065cb/overlap_bench.stdout.txt,experiment=micro ratio_target=0.25,,,,,128,"{""CUDA_HOME"":""/usr/local/cuda""}",0,False,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:02:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:41:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":2,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:81:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":16,""pcie_link_width_max"":16},{""index"":3,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C2:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16}]",,6.8.0-40-generic,,,,,,,,nccl.h (/usr/include/nccl.h),,,,,,sum,,full,"	[4mGPU0	GPU1	GPU2	GPU3	CPU Affinity	NUMA Affinity	GPU NUMA ID[0m
GPU0	 X 	SYS	SYS	SYS	0-127	0		N/A
GPU1	SYS	 X 	SYS	SYS	0-127	0		N/A
GPU2	SYS	SYS	 X 	SYS	0-127	0		N/A
GPU3	SYS	SYS	SYS	 X 	0-127	0		N/A

Legend:

  X    = Self
  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)
  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node
  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)
  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)
  PIX  = Connection traversing at most a single PCIe bridge
  NV#  = Connection traversing a bonded set of # NVLinks",True,
1,p7b-overlap-20260829T040506Z-ec065cb,phase7,2026-08-29T04:06:05Z,measured,ec065cb3654e16737ca45d7ba2b83955cc682459,unknown,78c52ce555ca,Ubuntu 24.04.3 LTS,AMD EPYC 7702 64-Core Processor,1,NVIDIA L4,4,SYS,none-single-node,False,False,shm-nccl,12.8,550.127.05,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,overlap-bench,micro-ratio0.25,,all_reduce,float,1048576,,,1,in_place,3,10,2,63.985,283.83,349.458,309.464,283.83,0.6094,245.479,126.496,290.72,309.464,True,overlap_bench -g 4 -w 3 -n 10 --repeats 3 --gemm 512,results/raw/p7b-overlap-20260829T040506Z-ec065cb/overlap_bench.stdout.txt,experiment=micro ratio_target=0.25,,,,,128,"{""CUDA_HOME"":""/usr/local/cuda""}",0,False,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:02:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:41:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":2,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:81:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":16,""pcie_link_width_max"":16},{""index"":3,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C2:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16}]",,6.8.0-40-generic,,,,,,,,nccl.h (/usr/include/nccl.h),,,,,,sum,,full,"	[4mGPU0	GPU1	GPU2	GPU3	CPU Affinity	NUMA Affinity	GPU NUMA ID[0m
GPU0	 X 	SYS	SYS	SYS	0-127	0		N/A
GPU1	SYS	 X 	SYS	SYS	0-127	0		N/A
GPU2	SYS	SYS	 X 	SYS	0-127	0		N/A
GPU3	SYS	SYS	SYS	 X 	0-127	0		N/A

Legend:

  X    = Self
  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)
  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node
  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)
  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)
  PIX  = Connection traversing at most a single PCIe bridge
  NV#  = Connection traversing a bonded set of # NVLinks",True,
1,p7b-overlap-20260829T040506Z-ec065cb,phase7,2026-08-29T04:06:05Z,measured,ec065cb3654e16737ca45d7ba2b83955cc682459,unknown,78c52ce555ca,Ubuntu 24.04.3 LTS,AMD EPYC 7702 64-Core Processor,1,NVIDIA L4,4,SYS,none-single-node,False,False,shm-nccl,12.8,550.127.05,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,overlap-bench,micro-ratio0.5,,all_reduce,float,1048576,,,2,in_place,3,10,0,119.344,281.903,406.235,304.994,281.903,0.8143,185.651,178.528,292.288,304.994,True,overlap_bench -g 4 -w 3 -n 10 --repeats 3 --gemm 512,results/raw/p7b-overlap-20260829T040506Z-ec065cb/overlap_bench.stdout.txt,experiment=micro ratio_target=0.5,,,,,128,"{""CUDA_HOME"":""/usr/local/cuda""}",0,False,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:02:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:41:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":2,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:81:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":16,""pcie_link_width_max"":16},{""index"":3,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C2:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16}]",,6.8.0-40-generic,,,,,,,,nccl.h (/usr/include/nccl.h),,,,,,sum,,full,"	[4mGPU0	GPU1	GPU2	GPU3	CPU Affinity	NUMA Affinity	GPU NUMA ID[0m
GPU0	 X 	SYS	SYS	SYS	0-127	0		N/A
GPU1	SYS	 X 	SYS	SYS	0-127	0		N/A
GPU2	SYS	SYS	 X 	SYS	0-127	0		N/A
GPU3	SYS	SYS	SYS	 X 	0-127	0		N/A

Legend:

  X    = Self
  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)
  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node
  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)
  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)
  PIX  = Connection traversing at most a single PCIe bridge
  NV#  = Connection traversing a bonded set of # NVLinks",True,
1,p7b-overlap-20260829T040506Z-ec065cb,phase7,2026-08-29T04:06:05Z,measured,ec065cb3654e16737ca45d7ba2b83955cc682459,unknown,78c52ce555ca,Ubuntu 24.04.3 LTS,AMD EPYC 7702 64-Core Processor,1,NVIDIA L4,4,SYS,none-single-node,False,False,shm-nccl,12.8,550.127.05,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,overlap-bench,micro-ratio0.5,,all_reduce,float,1048576,,,2,in_place,3,10,1,119.521,281.175,412.321,307.359,281.175,0.8003,187.838,187.232,295.104,307.359,True,overlap_bench -g 4 -w 3 -n 10 --repeats 3 --gemm 512,results/raw/p7b-overlap-20260829T040506Z-ec065cb/overlap_bench.stdout.txt,experiment=micro ratio_target=0.5,,,,,128,"{""CUDA_HOME"":""/usr/local/cuda""}",0,False,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:02:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:41:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":2,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:81:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":16,""pcie_link_width_max"":16},{""index"":3,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C2:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16}]",,6.8.0-40-generic,,,,,,,,nccl.h (/usr/include/nccl.h),,,,,,sum,,full,"	[4mGPU0	GPU1	GPU2	GPU3	CPU Affinity	NUMA Affinity	GPU NUMA ID[0m
GPU0	 X 	SYS	SYS	SYS	0-127	0		N/A
GPU1	SYS	 X 	SYS	SYS	0-127	0		N/A
GPU2	SYS	SYS	 X 	SYS	0-127	0		N/A
GPU3	SYS	SYS	SYS	 X 	0-127	0		N/A

Legend:

  X    = Self
  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)
  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node
  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)
  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)
  PIX  = Connection traversing at most a single PCIe bridge
  NV#  = Connection traversing a bonded set of # NVLinks",True,
1,p7b-overlap-20260829T040506Z-ec065cb,phase7,2026-08-29T04:06:05Z,measured,ec065cb3654e16737ca45d7ba2b83955cc682459,unknown,78c52ce555ca,Ubuntu 24.04.3 LTS,AMD EPYC 7702 64-Core Processor,1,NVIDIA L4,4,SYS,none-single-node,False,False,shm-nccl,12.8,550.127.05,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,overlap-bench,micro-ratio0.5,,all_reduce,float,1048576,,,2,in_place,3,10,2,118.842,286.936,404.139,308.607,286.936,0.8151,189.765,174.528,294.656,308.607,True,overlap_bench -g 4 -w 3 -n 10 --repeats 3 --gemm 512,results/raw/p7b-overlap-20260829T040506Z-ec065cb/overlap_bench.stdout.txt,experiment=micro ratio_target=0.5,,,,,128,"{""CUDA_HOME"":""/usr/local/cuda""}",0,False,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:02:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:41:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":2,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:81:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":16,""pcie_link_width_max"":16},{""index"":3,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C2:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16}]",,6.8.0-40-generic,,,,,,,,nccl.h (/usr/include/nccl.h),,,,,,sum,,full,"	[4mGPU0	GPU1	GPU2	GPU3	CPU Affinity	NUMA Affinity	GPU NUMA ID[0m
GPU0	 X 	SYS	SYS	SYS	0-127	0		N/A
GPU1	SYS	 X 	SYS	SYS	0-127	0		N/A
GPU2	SYS	SYS	 X 	SYS	0-127	0		N/A
GPU3	SYS	SYS	SYS	 X 	0-127	0		N/A

Legend:

  X    = Self
  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)
  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node
  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)
  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)
  PIX  = Connection traversing at most a single PCIe bridge
  NV#  = Connection traversing a bonded set of # NVLinks",True,
1,p7b-overlap-20260829T040506Z-ec065cb,phase7,2026-08-29T04:06:05Z,measured,ec065cb3654e16737ca45d7ba2b83955cc682459,unknown,78c52ce555ca,Ubuntu 24.04.3 LTS,AMD EPYC 7702 64-Core Processor,1,NVIDIA L4,4,SYS,none-single-node,False,False,shm-nccl,12.8,550.127.05,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,overlap-bench,micro-ratio1,,all_reduce,float,1048576,,,5,in_place,3,10,0,279.529,281.956,569.713,354.624,281.956,0.7475,75.096,328.0,287.68,354.624,True,overlap_bench -g 4 -w 3 -n 10 --repeats 3 --gemm 512,results/raw/p7b-overlap-20260829T040506Z-ec065cb/overlap_bench.stdout.txt,experiment=micro ratio_target=1.0,,,,,128,"{""CUDA_HOME"":""/usr/local/cuda""}",0,False,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:02:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:41:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":2,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:81:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":16,""pcie_link_width_max"":16},{""index"":3,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C2:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16}]",,6.8.0-40-generic,,,,,,,,nccl.h (/usr/include/nccl.h),,,,,,sum,,full,"	[4mGPU0	GPU1	GPU2	GPU3	CPU Affinity	NUMA Affinity	GPU NUMA ID[0m
GPU0	 X 	SYS	SYS	SYS	0-127	0		N/A
GPU1	SYS	 X 	SYS	SYS	0-127	0		N/A
GPU2	SYS	SYS	 X 	SYS	0-127	0		N/A
GPU3	SYS	SYS	SYS	 X 	0-127	0		N/A

Legend:

  X    = Self
  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)
  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node
  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)
  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)
  PIX  = Connection traversing at most a single PCIe bridge
  NV#  = Connection traversing a bonded set of # NVLinks",True,
1,p7b-overlap-20260829T040506Z-ec065cb,phase7,2026-08-29T04:06:05Z,measured,ec065cb3654e16737ca45d7ba2b83955cc682459,unknown,78c52ce555ca,Ubuntu 24.04.3 LTS,AMD EPYC 7702 64-Core Processor,1,NVIDIA L4,4,SYS,none-single-node,False,False,shm-nccl,12.8,550.127.05,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,overlap-bench,micro-ratio1,,all_reduce,float,1048576,,,5,in_place,3,10,1,276.589,313.927,566.176,361.858,313.927,0.81,85.269,331.168,291.392,361.858,True,overlap_bench -g 4 -w 3 -n 10 --repeats 3 --gemm 512,results/raw/p7b-overlap-20260829T040506Z-ec065cb/overlap_bench.stdout.txt,experiment=micro ratio_target=1.0,,,,,128,"{""CUDA_HOME"":""/usr/local/cuda""}",0,False,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:02:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:41:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":2,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:81:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":16,""pcie_link_width_max"":16},{""index"":3,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C2:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16}]",,6.8.0-40-generic,,,,,,,,nccl.h (/usr/include/nccl.h),,,,,,sum,,full,"	[4mGPU0	GPU1	GPU2	GPU3	CPU Affinity	NUMA Affinity	GPU NUMA ID[0m
GPU0	 X 	SYS	SYS	SYS	0-127	0		N/A
GPU1	SYS	 X 	SYS	SYS	0-127	0		N/A
GPU2	SYS	SYS	 X 	SYS	0-127	0		N/A
GPU3	SYS	SYS	SYS	 X 	0-127	0		N/A

Legend:

  X    = Self
  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)
  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node
  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)
  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)
  PIX  = Connection traversing at most a single PCIe bridge
  NV#  = Connection traversing a bonded set of # NVLinks",True,
1,p7b-overlap-20260829T040506Z-ec065cb,phase7,2026-08-29T04:06:05Z,measured,ec065cb3654e16737ca45d7ba2b83955cc682459,unknown,78c52ce555ca,Ubuntu 24.04.3 LTS,AMD EPYC 7702 64-Core Processor,1,NVIDIA L4,4,SYS,none-single-node,False,False,shm-nccl,12.8,550.127.05,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,overlap-bench,micro-ratio1,,all_reduce,float,1048576,,,5,in_place,3,10,2,278.365,282.922,562.067,355.867,282.922,0.7387,77.502,337.856,292.8,355.867,True,overlap_bench -g 4 -w 3 -n 10 --repeats 3 --gemm 512,results/raw/p7b-overlap-20260829T040506Z-ec065cb/overlap_bench.stdout.txt,experiment=micro ratio_target=1.0,,,,,128,"{""CUDA_HOME"":""/usr/local/cuda""}",0,False,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:02:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:41:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":2,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:81:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":16,""pcie_link_width_max"":16},{""index"":3,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C2:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16}]",,6.8.0-40-generic,,,,,,,,nccl.h (/usr/include/nccl.h),,,,,,sum,,full,"	[4mGPU0	GPU1	GPU2	GPU3	CPU Affinity	NUMA Affinity	GPU NUMA ID[0m
GPU0	 X 	SYS	SYS	SYS	0-127	0		N/A
GPU1	SYS	 X 	SYS	SYS	0-127	0		N/A
GPU2	SYS	SYS	 X 	SYS	0-127	0		N/A
GPU3	SYS	SYS	SYS	 X 	0-127	0		N/A

Legend:

  X    = Self
  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)
  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node
  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)
  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)
  PIX  = Connection traversing at most a single PCIe bridge
  NV#  = Connection traversing a bonded set of # NVLinks",True,
1,p7b-overlap-20260829T040506Z-ec065cb,phase7,2026-08-29T04:06:05Z,measured,ec065cb3654e16737ca45d7ba2b83955cc682459,unknown,78c52ce555ca,Ubuntu 24.04.3 LTS,AMD EPYC 7702 64-Core Processor,1,NVIDIA L4,4,SYS,none-single-node,False,False,shm-nccl,12.8,550.127.05,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,overlap-bench,micro-ratio2,,all_reduce,float,1048576,,,9,in_place,3,10,0,489.176,281.756,776.232,536.408,489.176,0.8355,47.233,512.32,347.808,536.408,True,overlap_bench -g 4 -w 3 -n 10 --repeats 3 --gemm 512,results/raw/p7b-overlap-20260829T040506Z-ec065cb/overlap_bench.stdout.txt,experiment=micro ratio_target=2.0,,,,,128,"{""CUDA_HOME"":""/usr/local/cuda""}",0,False,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:02:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:41:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16},{""index"":2,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:81:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":16,""pcie_link_width_max"":16},{""index"":3,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C2:00.0"",""pcie_link_gen_current"":1,""pcie_link_gen_max"":4,""pcie_link_width_current"":8,""pcie_link_width_max"":16}]",,6.8.0-40-generic,,,,,,,,nccl.h (/usr/include/nccl.h),,,,,,sum,,full,"	[4mGPU0	GPU1	GPU2	GPU3	CPU Affinity	NUMA Affinity	GPU NUMA ID[0m
GPU0	 X 	SYS	SYS	SYS	0-127	0		N/A
GPU1	SYS	 X 	SYS	SYS	0-127	0		N/A
GPU2	SYS	SYS	 X 	SYS	0-127	0		N/A
GPU3	SYS	SYS	SYS	 X 	0-127	0		N/A

Legend:

  X    = Self
  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)
  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node
  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)
  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)
  PIX  = Connection traversing at most a single PCIe bridge
  NV#  = Connection traversing a bonded set of # NVLinks",True,
